sire,total_runs,total_top3,top3_rate,win_rate,avg_distance,weighted_dist_sum,best_distance,best_dist_cat,win_return_pct,place_return_pct
ゴールドヘイロー,133,24,0.18045112781954886,0.022556390977443608,1841.1278195488721,49070,2045,intermediate,15.6,49.6
ザサンデーフサイチ,133,7,0.05263157894736842,0.015037593984962405,1800.5263157894738,12100,1729,mile,9.2,18.1
オーシャンブルー,132,14,0.10606060606060606,0.015151515151515152,1875.6060606060605,24680,1763,mile,16.6,32.6
シルポート,129,15,0.11627906976744186,0.023255813953488372,1541.0852713178294,23600,1573,mile,28.9,42.6
アドマイヤマックス,128,14,0.109375,0.03125,1518.203125,20100,1436,mile,24.5,36.6
ヘンリーバローズ,127,29,0.2283464566929134,0.07874015748031496,1637.5590551181103,47900,1652,mile,114.1,79.2
Kitten's Joy(米),126,29,0.23015873015873015,0.11904761904761904,1681.5079365079366,46200,1593,mile,135.3,70.0
クリソベリル,124,32,0.25806451612903225,0.07258064516129033,1622.983870967742,53700,1678,mile,0.0,0.0
ダノンスマッシュ,123,20,0.16260162601626016,0.032520325203252036,1476.8292682926829,29200,1460,mile,0.0,0.0
アポロケンタッキー,122,30,0.2459016393442623,0.03278688524590164,1481.1475409836066,43300,1443,mile,114.5,96.0
リヤンドファミユ,122,34,0.2786885245901639,0.04918032786885246,1544.7540983606557,49790,1464,mile,55.5,113.6
Medaglia d'Oro,122,28,0.22950819672131148,0.07377049180327869,1481.1475409836066,39000,1393,sprint,108.0,68.6
