phase,par_blend,ability_bias_sec,transfer_strength,mae,score,w_surface_only,w_distance_only,w_both
1,0.75,-0.5,0.0,37.899662162162166,38.018303501842496,,,
1,0.75,-0.5,1.0,37.899662162162166,38.018303501842496,,,
1,0.75,1.0,1.0,37.9001001001001,38.02354181451953,,,
1,0.75,1.0,0.0,37.9001001001001,38.02354181451953,,,
1,0.75,1.0,0.5,37.9001001001001,38.02354181451953,,,
1,0.75,0.0,1.0,37.89608358358358,38.029033253584934,,,
1,0.75,0.0,0.5,37.89608358358358,38.029033253584934,,,
1,0.75,0.0,0.0,37.89608358358358,38.029033253584934,,,
1,0.75,0.5,0.0,38.00372872872873,38.132336147348056,,,
1,0.75,0.5,0.5,38.00372872872873,38.132336147348056,,,
1,0.75,0.5,1.0,38.00372872872873,38.132336147348056,,,
1,0.75,0.0,1.0,38.099286786786784,38.2326135563605,,,
1,0.75,0.0,0.5,38.099286786786784,38.2326135563605,,,
1,0.75,0.0,0.0,38.099286786786784,38.2326135563605,,,
1,0.75,1.0,0.0,38.11336336336336,38.23662359580955,,,
1,0.75,1.0,0.5,38.11336336336336,38.23662359580955,,,
1,0.75,1.0,1.0,38.11336336336336,38.23662359580955,,,
1,0.75,-0.5,1.0,38.21138638638639,38.34833165398332,,,
1,0.75,-0.5,0.0,38.21138638638639,38.34833165398332,,,
1,0.75,-0.5,0.5,38.21138638638639,38.34833165398332,,,
1,0.75,2.0,1.0,38.38383383383383,38.48765743429538,,,
1,0.75,2.0,0.5,38.38383383383383,38.48765743429538,,,
1,0.75,2.0,0.0,38.38383383383383,38.48765743429538,,,
1,0.75,-0.5,0.5,38.39680930930931,38.53409309071659,,,
1,0.75,-0.5,0.0,38.39680930930931,38.53409309071659,,,
1,0.75,-0.5,1.0,38.39680930930931,38.53409309071659,,,
1,0.75,-1.0,0.0,38.447497497497494,38.559658401825146,,,
1,0.75,-1.0,1.0,38.447497497497494,38.559658401825146,,,
1,0.75,-1.0,0.5,38.447497497497494,38.559658401825146,,,
1,0.75,-1.0,1.0,38.66541541541542,38.797277403117754,,,
1,0.75,-1.0,0.5,38.66541541541542,38.797277403117754,,,
1,0.75,-1.0,0.0,38.66541541541542,38.797277403117754,,,
1,0.75,-1.0,0.0,38.82752752752753,38.96158275798558,,,
1,0.75,-1.0,0.5,38.82752752752753,38.96158275798558,,,
1,0.75,-1.0,1.0,38.82752752752753,38.96158275798558,,,
1,0.75,2.0,0.5,38.87723973973974,38.99234362652174,,,
1,0.75,2.0,1.0,38.87723973973974,38.99234362652174,,,
1,0.75,2.0,0.0,38.87723973973974,38.99234362652174,,,
1,0.75,2.0,0.0,39.063626126126124,39.18066236454906,,,
1,0.75,2.0,0.5,39.063626126126124,39.18066236454906,,,
1,0.75,2.0,1.0,39.063626126126124,39.18066236454906,,,
1,0.75,-2.0,0.0,39.734109109109106,39.847360365852104,,,
1,0.75,-2.0,1.0,39.734109109109106,39.847360365852104,,,
1,0.75,-2.0,0.5,39.734109109109106,39.847360365852104,,,
1,0.75,-2.0,0.5,39.77283533533534,39.90096531306002,,,
1,0.75,-2.0,0.0,39.77283533533534,39.90096531306002,,,
1,0.75,-2.0,1.0,39.77283533533534,39.90096531306002,,,
1,0.75,-2.0,1.0,39.846909409409406,39.979977831601865,,,
1,0.75,-2.0,0.5,39.846909409409406,39.979977831601865,,,
1,0.75,-2.0,0.0,39.846909409409406,39.979977831601865,,,
1,1.0,0.5,1.0,39.90419169169169,40.00561549279983,,,
